"Influent (NTU)","Effluent (NTU)","pC*","Dose (mg/L)","G (Hz)","theta (s)","phi","Gamma","Composite Parameter"
5,4.249456,0.0706366675374349,0,54.3495445346353,797.333333333333,2.77469478357381e-06,0,0
5,4.249456,0.0706366675374349,0.27,54.3495445346353,797.333333333333,3.47726609626814e-06,0.0344717159738138,0.673912193046194
5,4.239052,0.0717012602909059,0.324,54.3495445346353,797.333333333333,3.61778035880701e-06,0.04122213172262,0.824605566871162
5,4.210152,0.0746722287926074,0.389,54.3495445346353,797.333333333333,3.78691789704824e-06,0.0492850670330496,1.01220602007891
5,4.348872,0.0605933790371485,0.467,54.3495445346353,797.333333333333,3.98988294293771e-06,0.0588711357033301,1.24575521518186
5,4.451756,0.0504386516287774,0.56,54.3495445346353,797.333333333333,4.23187972842132e-06,0.0701744355545677,1.53540054496282
5,4.648276,0.0316780971485975,0.672,54.3495445346353,797.333333333333,4.52331671739082e-06,0.0836069666708136,1.89904043427028
5,4.206684,0.0750301146652732,0.806,54.3495445346353,797.333333333333,4.87200025776505e-06,0.0994233031430494,2.35331981852334
5,3.419448,0.165014000590635,0.968,54.3495445346353,797.333333333333,5.29354304538165e-06,0.118180485754604,2.9272323811467
5,3.518864,0.152567522152973,1.161,54.3495445346353,797.333333333333,5.79575142815945e-06,0.140017721423308,3.64139235204552
5,2.56054,0.29063843969242,1.393,54.3495445346353,797.333333333333,6.39944233388199e-06,0.165553134699455,4.53634902363848
5,2.001036,0.397715102376115,1.672,54.3495445346353,797.333333333333,7.1254326903328e-06,0.195259507163712,5.65462239617869
5,0.99416,0.701513719007941,2.007,54.3495445346353,797.333333333333,7.99714154126837e-06,0.229534547130256,7.04251642107365
5,5.656308,-0.0535630455084296,0,54.3495445346353,1200,2.77469478357381e-06,0,0
5,2.961672,0.227433044842841,0.27,54.3495445346353,1200,3.47726609626814e-06,0.0344717159738138,1.01424911996919
5,3.12698,0.20384490080892,0.324,54.3495445346353,1200,3.61778035880701e-06,0.04122213172262,1.24104516753185
5,3.165128,0.198578726453537,0.389,54.3495445346353,1200,3.78691789704824e-06,0.0492850670330496,1.52338698674083
5,3.309628,0.17919082222991,0.467,54.3495445346353,1200,3.98988294293771e-06,0.0588711357033301,1.87488243087571
5,3.783588,0.121066164943504,0.56,54.3495445346353,1200,4.23187972842132e-06,0.0701744355545677,2.31080349576344
5,2.95358,0.228621265780777,0.672,54.3495445346353,1200,4.52331671739082e-06,0.0836069666708136,2.85808761010577
5,3.089988,0.209013211494971,0.806,54.3495445346353,1200,4.87200025776505e-06,0.0994233031430494,3.54178568005185
5,1.854224,0.430807806303364,0.968,54.3495445346353,1200,5.29354304538165e-06,0.118180485754604,4.40553368400005
5,0.939828,0.72592162465744,1.161,54.3495445346353,1200,5.79575142815945e-06,0.140017721423308,5.4803563826772
5,0.925956,0.732379654167271,1.393,54.3495445346353,1200,6.39944233388199e-06,0.165553134699455,6.82728113925524
5,0.465868,1.0307071241104,1.672,54.3495445346353,1200,7.1254326903328e-06,0.195259507163712,8.51030126515187
15,16.02216,-0.0286298053046169,0,54.3495445346353,797.333333333333,8.32408435072142e-06,0,0
15,14.428036,0.0168840417815596,0.27,54.3495445346353,797.333333333333,9.02665566341576e-06,0.0336844495262604,1.24433241610256
15,13.599184,0.0425784091361394,0.324,54.3495445346353,797.333333333333,9.16716992595462e-06,0.0402839404451746,1.49848056343101
15,13.628084,0.0416564572722534,0.389,54.3495445346353,797.333333333333,9.33630746419585e-06,0.0481680214082995,1.80642733424766
15,14.202616,0.0237229139876266,0.467,54.3495445346353,797.333333333333,9.53927251008533e-06,0.0575434719193442,2.1786796142332
15,12.616584,0.0751494755240438,0.56,54.3495445346353,797.333333333333,9.78126929556893e-06,0.0686012765476202,2.62605274084547
15,10.699936,0.146710079027478,0.672,54.3495445346353,797.333333333333,1.00727062845384e-05,0.081746132801956,3.16937218339993
15,7.991428,0.273466868088738,0.806,54.3495445346353,797.333333333333,1.04213898249127e-05,0.0972294873121942,3.82505189905561
15,7.152172,0.32165330895117,0.968,54.3495445346353,797.333333333333,1.08429326125293e-05,0.115599974725054,4.62449707583443
15,3.378988,0.647304609613735,1.161,54.3495445346353,797.333333333333,1.13451409953071e-05,0.136998472241617,5.58433370955669
15,3.143164,0.678724217383671,1.393,54.3495445346353,797.333333333333,1.19488319010296e-05,0.162036889013118,6.74533439201114
15,1.927052,0.891197825143166,1.672,54.3495445346353,797.333333333333,1.26748222574804e-05,0.191187537248114,8.14673398073898
15,2.96514,0.704046055523336,2.007,54.3495445346353,797.333333333333,1.3546531108416e-05,0.224852532461865,9.82924399340003
15,1.95942,0.88396372243207,2.408,54.3495445346353,797.333333333333,1.45899796135657e-05,0.263312594825959,11.8322019576546
15,0.966416,1.19092714753215,2.889,54.3495445346353,797.333333333333,1.58415973965508e-05,0.306936602966681,14.2044268173703
15,1.57216,0.979594516600954,3.467,54.3495445346353,797.333333333333,1.73456204289113e-05,0.355954526098905,16.9930264713027
15,1.087796,1.13954380154391,4.161,54.3495445346353,797.333333333333,1.9151488914133e-05,0.410251601679234,20.2309467282904
15,13.59648667052,0.0426645577975989,0,54.3495445346353,1200,8.32408435072142e-06,0,0
15,11.237765,0.12541131300799,0.27,54.3495445346353,1200,9.02665566341576e-06,0.0336844495262604,1.87274109446873
15,9.885245,0.181103821538565,0.324,54.3495445346353,1200,9.16716992595462e-06,0.0402839404451746,2.25523830616708
15,7.752136,0.28666987587837,0.389,54.3495445346353,1200,9.33630746419585e-06,0.0481680214082995,2.71870334585768
15,6.89843,0.337340997292379,0.467,54.3495445346353,1200,9.53927251008533e-06,0.0575434719193442,3.27894925219044
15,5.395919,0.444025837351046,0.56,54.3495445346353,1200,9.78126929556893e-06,0.0686012765476202,3.95225328889786
15,4.798267,0.495006848395858,0.672,54.3495445346353,1200,1.00727062845384e-05,0.081746132801956,4.76995813555173
15,3.526667,0.628726805027551,0.806,54.3495445346353,1200,1.04213898249127e-05,0.0972294873121942,5.75676707215727
15,2.882678667052,0.716295024889427,0.968,54.3495445346353,1200,1.08429326125293e-05,0.115599974725054,6.95994543185784
15,2.455729332948,0.785910761279114,1.161,54.3495445346353,1200,1.13451409953071e-05,0.136998472241617,8.40451561638966
15,2.370378,0.801273651347668,1.393,54.3495445346353,1200,1.19488319010296e-05,0.162036889013118,10.1518410582108
15,1.882546,0.901345662070279,1.672,54.3495445346353,1200,1.26748222574804e-05,0.191187537248114,12.2609708740219
15,1.654814,0.957342072613554,2.007,54.3495445346353,1200,1.3546531108416e-05,0.224852532461865,14.7931765786957
15,1.675044,0.952065039499996,2.408,54.3495445346353,1200,1.45899796135657e-05,0.263312594825959,17.8076618091792
15,1.036932,1.16034098192708,2.889,54.3495445346353,1200,1.58415973965508e-05,0.306936602966681,21.3778998923634
15,0.867,1.23807216157947,3.467,54.3495445346353,1200,1.73456204289113e-05,0.355954526098905,25.5747890036329
15,1.032886,1.16203886812951,4.161,54.3495445346353,1200,1.9151488914133e-05,0.410251601679234,30.4479131362231
15,1.226516,1.08741804106983,4.993,54.3495445346353,1200,2.13164494036207e-05,0.469346360648158,36.0211397135177
15,1.064676,1.14887379477432,5.992,54.3495445346353,1200,2.39159632605898e-05,0.532532599079802,42.3074711941995
50,50.0548,-0.000475726101856783,0,54.3495445346353,797.333333333333,2.77469478357381e-05,0,0
50,31.000452,0.207601978254174,0.231,54.3495445346353,797.333333333333,2.83480366254877e-05,0.0267466587473449,2.12636037174043
50,29.007508,0.236459583645574,0.277,54.3495445346353,797.333333333333,2.8467733960243e-05,0.0319868031472117,2.54333327055493
50,27.534764,0.259088645833479,0.332,54.3495445346353,797.333333333333,2.86108503387548e-05,0.0382151723461664,3.03908980642173
50,22.766264,0.341678236668053,0.399,54.3495445346353,797.333333333333,2.87851921089419e-05,0.0457483402853909,3.63890806312578
50,19.460104,0.409824847411629,0.479,54.3495445346353,797.333333333333,2.89933613867773e-05,0.0546659201299332,4.3492302472664
50,14.670796,0.532516326141743,0.574,54.3495445346353,797.333333333333,2.92405624042068e-05,0.0651473707833197,5.18447075403764
50,12.373824,0.606466069827761,0.689,54.3495445346353,797.333333333333,2.95398057410951e-05,0.077680075686229,6.18362142896582
50,9.77398,0.708898558317748,0.827,54.3495445346353,797.333333333333,2.98988977453611e-05,0.0924977413242457,7.36549835651564
50,7.666592,0.814367652709291,0.992,54.3495445346353,797.333333333333,3.03282468808965e-05,0.109902368115413,8.75437855667219
50,4.592788,1.03689360519615,1.191,54.3495445346353,797.333333333333,3.0846067959512e-05,0.130449933496112,10.3948126350394
50,41.476124,0.0811718401306821,0,54.3495445346353,1200,2.77469478357381e-05,0,0
50,16.474156,0.482166830170544,0.231,54.3495445346353,1200,2.83480366254877e-05,0.0267466587473449,3.20020791733509
50,14.059272,0.551007171174856,0.277,54.3495445346353,1200,2.8467733960243e-05,0.0319868031472117,3.82775910284186
50,10.809756,0.665154113255006,0.332,54.3495445346353,1200,2.86108503387548e-05,0.0382151723461664,4.57388097956447
50,9.304644,0.730270242859907,0.399,54.3495445346353,1200,2.87851921089419e-05,0.0457483402853909,5.4766174863097
50,7.651564,0.815219789163305,0.479,54.3495445346353,1200,2.89933613867773e-05,0.0546659201299332,6.54566425173874
50,6.008888,0.920175895086515,0.574,54.3495445346353,1200,2.92405624042068e-05,0.0651473707833197,7.80271518166201
50,5.13264,0.988629200136889,0.689,54.3495445346353,1200,2.95398057410951e-05,0.077680075686229,9.30645365563417
50,3.902656,1.10760973229789,0.827,54.3495445346353,1200,2.98988977453611e-05,0.0924977413242457,11.0851981954249
50,3.237956,1.18869906142794,0.992,54.3495445346353,1200,3.03282468808965e-05,0.109902368115413,13.1754861220819
50,2.113168,1.3740359788537,1.191,54.3495445346353,1200,3.0846067959512e-05,0.130449933496112,15.6443668420326
150,180.2493,-0.0797823277519982,0,54.3495445346353,797.333333333333,8.32408435072142e-05,0,0
150,182.801748,-0.0858890852038642,0.27,54.3495445346353,797.333333333333,8.39434148199085e-05,0.0257463095743574,4.22290712308233
150,97.446176,0.187326457928197,0.324,54.3495445346353,797.333333333333,8.40839290824474e-05,0.0308154742457016,5.04699759604884
150,56.321476,0.425417231347483,0.389,54.3495445346353,797.333333333333,8.42530666206886e-05,0.0368822769952387,6.03008883255052
150,55.298416,0.433378567756623,0.467,54.3495445346353,797.333333333333,8.44560316665781e-05,0.0441123324517505,7.19714425131296
150,32.480132,0.664473473500241,0.56,54.3495445346353,797.333333333333,8.46980284520617e-05,0.0526618818580697,8.57082122541521
150,24.099132,0.794089858572058,0.672,54.3495445346353,797.333333333333,8.49894654410312e-05,0.0628566777772009,10.1998175852997
150,35.374756,0.627397806091364,0.806,54.3495445346353,797.333333333333,8.53381489814054e-05,0.0749099709457723,12.1131003509835
150,34.184076,0.642267413697046,0.968,54.3495445346353,797.333333333333,8.57596917690221e-05,0.0892750475464597,14.3753877934263
150,18.44398,0.910236616441642,1.161,54.3495445346353,797.333333333333,8.62619001517999e-05,0.106098108838146,16.9999233677724
150,13.859284,1.03435046477421,1.393,54.3495445346353,797.333333333333,8.68655910575224e-05,0.125909865885621,20.056320049811
150,11.71028,1.10752397961089,1.672,54.3495445346353,797.333333333333,8.75915814139732e-05,0.149154551666766,23.59486013874
150,7.879296,1.27960384321253,2.007,54.3495445346353,797.333333333333,8.84632902649088e-05,0.176249592037509,27.6548565996916
150,13.313652,1.0517940581341,2.408,54.3495445346353,797.333333333333,8.95067387700585e-05,0.207550577301947,32.258475634597
150,3.984732,1.57569214156322,2.889,54.3495445346353,797.333333333333,9.07583565530436e-05,0.243531170983343,37.4359261868243
150,3.123512,1.68144808028516,3.467,54.3495445346353,797.333333333333,9.22623795854041e-05,0.284613313442446,43.1985838957952
150,3.24258,1.66520055937899,4.161,54.3495445346353,797.333333333333,9.40682480706258e-05,0.331003491585969,49.5167960788522
150,154.550264,-0.0129784921983516,0,54.3495445346353,1200,8.32408435072142e-05,0,0
150,45.278208,0.520202028841723,0.27,54.3495445346353,1200,8.39434148199085e-05,0.0257463095743574,6.35554583741488
150,52.891624,0.452704357126303,0.324,54.3495445346353,1200,8.40839290824474e-05,0.0308154742457016,7.59581578000662
150,37.975756,0.59658483074442,0.389,54.3495445346353,1200,8.42530666206886e-05,0.0368822769952387,9.07538453059442
150,24.667884,0.783959361553658,0.467,54.3495445346353,1200,8.44560316665781e-05,0.0441123324517505,10.8318224518088
150,20.4901,0.864547181116067,0.56,54.3495445346353,1200,8.46980284520617e-05,0.0526618818580697,12.8992292690195
150,14.254636,1.02213512721797,0.672,54.3495445346353,1200,8.49894654410312e-05,0.0628566777772009,15.3508960313875
150,18.112208,0.918119862095343,0.806,54.3495445346353,1200,8.53381489814054e-05,0.0749099709457723,18.2304185884367
150,11.932232,1.09936957023724,0.968,54.3495445346353,1200,8.57596917690221e-05,0.0892750475464597,21.6351990202069
150,10.385504,1.15966368171777,1.161,54.3495445346353,1200,8.62619001517999e-05,0.106098108838146,25.5851689481524
150,6.777628,1.34501353078637,1.393,54.3495445346353,1200,8.68655910575224e-05,0.125909865885621,30.1850970649329
150,7.39262,1.3072928761565,1.672,54.3495445346353,1200,8.75915814139732e-05,0.149154551666766,35.5106590716822
150,4.056404,1.56795005675576,2.007,54.3495445346353,1200,8.84632902649088e-05,0.176249592037509,41.6210216383318
150,4.16738,1.55622815591572,2.408,54.3495445346353,1200,8.95067387700585e-05,0.207550577301947,48.5495452694603
150,3.787056,1.59778953188279,2.889,54.3495445346353,1200,9.07583565530436e-05,0.243531170983343,56.3416949300031
150,2.744344,1.7376527103526,3.467,54.3495445346353,1200,9.22623795854041e-05,0.284613313442446,65.0145911475179
500,376.02368,0.123754808957545,0,54.3495445346353,797.333333333333,0.000277469478357381,0,0
500,200.782172,0.396244856349873,0.27,54.3495445346353,797.333333333333,0.000278172049670075,0.0159815771702581,5.85522371704997
500,163.517356,0.485406148165486,0.324,54.3495445346353,797.333333333333,0.000278312563932614,0.0191471117396136,7.00615701111953
500,169.74704,0.469167794419559,0.389,54.3495445346353,797.333333333333,0.000278481701470855,0.0229439741609534,8.38277661969024
500,131.765504,0.579168276804378,0.467,54.3495445346353,797.333333333333,0.000278684666516745,0.027480813270909,10.0221761048329
500,123.06776,0.608825708414773,0.56,54.3495445346353,797.333333333333,0.000278926663302228,0.0328625970482939,11.9591164552193
500,71.078972,0.847228866265724,0.672,54.3495445346353,797.333333333333,0.000279218100291198,0.0393043696344412,14.2664490990614
500,50.428188,0.996296641089425,0.806,54.3495445346353,797.333333333333,0.000279566783831572,0.0469551387405192,16.9911023880038
500,92.669584,0.732032790887691,0.968,54.3495445346353,797.333333333333,0.000279988326619189,0.0561232648570453,20.233643577412
500,57.561864,0.938835155280505,1.161,54.3495445346353,797.333333333333,0.000280490535001966,0.0669307302483495,24.0244958945144
500,45.230812,1.0435356199075,1.393,54.3495445346353,797.333333333333,0.000281094225907689,0.079758432760318,28.4797555584652
500,34.348228,1.16306566729772,1.672,54.3495445346353,797.333333333333,0.00028182021626414,0.0949515058543466,33.6944587231955
500,46.937068,1.02745404713461,2.007,54.3495445346353,797.333333333333,0.000282691925115075,0.112863043036502,39.7557490454969
500,34.04998,1.1668531431795,2.408,54.3495445346353,797.333333333333,0.000283735373620225,0.133837910000059,46.7347575293795
500,29.66296,1.2267555182126,2.889,54.3495445346353,797.333333333333,0.00028498699140321,0.158344134400316,54.7263287144471
500,23.225196,1.33301061659567,3.467,54.3495445346353,797.333333333333,0.000286491014435571,0.186876931068304,63.8105973220366
500,20.204568,1.3935204352402,4.161,54.3495445346353,797.333333333333,0.000288296882920792,0.219860997603469,74.0169588501029
500,606.985544,-0.0842083436819236,0,54.3495445346353,1200,0.000277469478357381,0,0
500,276.285156,0.257612452175449,0.27,54.3495445346353,1200,0.000278172049670075,0.0159815771702581,8.81220960760029
500,221.080376,0.354419809804125,0.324,54.3495445346353,1200,0.000278312563932614,0.0191471117396136,10.5443834615511
500,207.712392,0.381507597272852,0.389,54.3495445346353,1200,0.000278481701470855,0.0229439741609534,12.6162189928448
500,162.511636,0.488085541976997,0.467,54.3495445346353,1200,0.000278684666516745,0.027480813270909,15.0835426326917
500,115.378048,0.636846817174459,0.56,54.3495445346353,1200,0.000278926663302228,0.0328625970482939,17.99867025033
500,135.455456,0.567173501700151,0.672,54.3495445346353,1200,0.000279218100291198,0.0393043696344412,21.4712444634703
500,94.985052,0.721314739517756,0.806,54.3495445346353,1200,0.000279566783831572,0.0469551387405192,25.5718932260926
500,53.206056,0.973008937121867,0.968,54.3495445346353,1200,0.000279988326619189,0.0561232648570453,30.4519719392489
500,65.135976,0.885149079320798,1.161,54.3495445346353,1200,0.000280490535001966,0.0669307302483495,36.1572680686672
500,27.608748,1.25792329161272,1.393,54.3495445346353,1200,0.000281094225907689,0.079758432760318,42.862508365583
500,32.357596,1.18899375600385,1.672,54.3495445346353,1200,0.00028182021626414,0.0949515058543466,50.7107238308962
500,33.508972,1.17380889973487,2.007,54.3495445346353,1200,0.000282691925115075,0.112863043036502,59.8330671253298
500,26.745216,1.27172389463707,2.408,54.3495445346353,1200,0.000283735373620225,0.133837910000059,70.3365915994006
500,29.730008,1.22577497826746,2.889,54.3495445346353,1200,0.00028498699140321,0.158344134400316,82.3640398712414
500,25.757992,1.28805800035749,3.467,54.3495445346353,1200,0.000286491014435571,0.186876931068304,96.0360160365099
500,32.569144,1.18616365998551,4.161,54.3495445346353,1200,0.000288296882920792,0.219860997603469,111.396760811192
