"Influent (NTU)","Effluent (NTU)","pC*","Dose (mg/L)","G (Hz)","theta (s)","phi","Gamma","Composite Parameter"
150,154.550264,-0.0129784921983516,0,54.3495445346353,1200,8.32408435072142e-05,0,0
150,45.278208,0.520202028841723,0.27,54.3495445346353,1200,8.39434148199085e-05,0.0257463095743574,6.35554583741488
150,52.891624,0.452704357126303,0.324,54.3495445346353,1200,8.40839290824474e-05,0.0308154742457016,7.59581578000662
150,37.975756,0.59658483074442,0.389,54.3495445346353,1200,8.42530666206886e-05,0.0368822769952387,9.07538453059442
150,24.667884,0.783959361553658,0.467,54.3495445346353,1200,8.44560316665781e-05,0.0441123324517505,10.8318224518088
150,20.4901,0.864547181116067,0.56,54.3495445346353,1200,8.46980284520617e-05,0.0526618818580697,12.8992292690195
150,14.254636,1.02213512721797,0.672,54.3495445346353,1200,8.49894654410312e-05,0.0628566777772009,15.3508960313875
150,18.112208,0.918119862095343,0.806,54.3495445346353,1200,8.53381489814054e-05,0.0749099709457723,18.2304185884367
150,11.932232,1.09936957023724,0.968,54.3495445346353,1200,8.57596917690221e-05,0.0892750475464597,21.6351990202069
150,10.385504,1.15966368171777,1.161,54.3495445346353,1200,8.62619001517999e-05,0.106098108838146,25.5851689481524
150,6.777628,1.34501353078637,1.393,54.3495445346353,1200,8.68655910575224e-05,0.125909865885621,30.1850970649329
150,7.39262,1.3072928761565,1.672,54.3495445346353,1200,8.75915814139732e-05,0.149154551666766,35.5106590716822
150,4.056404,1.56795005675576,2.007,54.3495445346353,1200,8.84632902649088e-05,0.176249592037509,41.6210216383318
150,4.16738,1.55622815591572,2.408,54.3495445346353,1200,8.95067387700585e-05,0.207550577301947,48.5495452694603
150,3.787056,1.59778953188279,2.889,54.3495445346353,1200,9.07583565530436e-05,0.243531170983343,56.3416949300031
150,2.744344,1.7376527103526,3.467,54.3495445346353,1200,9.22623795854041e-05,0.284613313442446,65.0145911475179
